ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
56,Wyoming,WY,56001,Albany County,56001962700,Census Tract 9627; Albany County; Wyoming,243.035989631364,2997,460,1513,218,1352,202,303,137,15,20,186,91,95,64,220,125,496,152,541,182,348,123,19,29,14,56,384,664,0,18,458,131,0,18,35,32,0,13,10.1,4.3,0.8,1.1,13.8,6.4,4.2,2.8,7.3,4.1,16.5,4.8,18.1,4.2,11.6,4.2,1.4,2.1,0.5,2.0,12.8,22.1,0.0,1.2,30.3,8.0,0.0,1.3,2.6,2.4,0.0,0.4,0.1709,0.1203,0.1709,0.3101,0.2342,1.0064,0.0506,0.4367,0.2595,0.3165,0.1646,0.6582,1.8355,0.2342,0.4051,0.4051,0.4051,0.0,0.9051,0.0,0.462,0.0,1.3671,0.1329,4.6141,0.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1616,106,47,0,13,201,134,0,13,0,13,0,13,183,156,0,13,7.8,3.6,0.0,1.2,6.7,4.5,0.0,1.2,0.0,1.2,0.0,1.2,6.1,5.2,0.0,1.2
56,Wyoming,WY,56001,Albany County,56001962800,Census Tract 9628; Albany County; Wyoming,3.157736365306,3129,379,1453,119,1329,124,566,277,35,31,444,148,132,77,282,128,390,104,693,193,400,142,149,89,0,52,885,467,45,52,273,120,6,16,63,65,179,23,19.2,9.1,2.0,1.8,33.4,10.7,7.0,4.0,9.0,4.0,12.5,3.9,22.1,4.4,12.8,4.4,11.2,6.6,0.0,1.8,28.3,14.5,3.1,3.6,18.8,8.0,0.5,1.2,4.7,4.9,5.7,0.3,0.6076,0.2975,0.8987,0.6772,0.3608,2.8418,0.6266,0.1962,0.443,0.4051,0.9367,0.0,1.981,0.3038,0.8797,0.8797,0.8797,0.519,0.6962,0.3291,0.6582,0.8797,3.0822,0.8101,8.7847,0.7215,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2228,57,54,2,5,604,270,10,14,15,20,0,13,232,130,22,36,4.3,4.1,0.1,0.2,19.3,7.1,0.3,0.5,0.5,0.6,0.0,1.2,7.4,4.0,0.7,1.1
56,Wyoming,WY,56001,Albany County,56001962900,Census Tract 9629; Albany County; Wyoming,2.776675313018,1667,285,1014,163,903,164,496,224,59,49,219,95,123,104,282,121,192,96,284,111,267,110,73,76,1,50,864,341,31,23,510,128,0,18,20,19,0,13,29.8,12.4,5.7,4.2,24.3,9.6,9.8,8.2,16.9,7.4,11.5,5.3,17.0,5.6,16.0,5.8,8.1,8.3,0.1,3.1,51.8,18.4,3.1,2.2,50.3,8.2,0.0,2.0,2.2,2.1,0.0,0.8,0.8797,0.7658,0.6772,0.8354,0.8228,3.9809,0.943,0.1582,0.1962,0.6709,0.8354,0.4873,2.348,0.481,0.9873,0.9873,0.9873,0.519,0.9873,0.0,0.3924,0.0,1.8987,0.3038,9.2149,0.7911,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,890,63,33,0,13,760,217,28,37,16,21,0,13,60,38,0,13,7.0,3.5,0.0,2.2,45.6,9.1,1.7,2.3,1.0,1.2,0.0,2.2,3.6,2.3,0.0,2.2
56,Wyoming,WY,56001,Albany County,56001963000,Census Tract 9630; Albany County; Wyoming,3.457555765264,2493,386,1302,141,1113,135,1308,353,106,72,527,183,65,60,381,158,105,46,250,122,360,150,26,40,11,50,435,523,96,50,58,45,0,18,77,66,76,6,54.0,11.8,6.1,4.0,47.3,15.4,5.4,5.1,15.5,6.0,4.2,2.0,10.0,4.4,14.7,6.0,2.3,3.6,0.5,2.1,17.4,20.8,7.3,3.8,4.5,3.5,0.0,1.6,6.9,5.9,3.0,0.5,0.9937,0.8101,0.9937,0.4937,0.7658,4.057,0.9684,0.0127,0.0316,0.5949,0.2658,0.6582,1.5632,0.1203,0.6203,0.6203,0.6203,0.7342,0.3544,0.0,0.8608,0.7975,2.7469,0.6456,8.9874,0.7595,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1999,63,57,3,12,292,151,16,28,11,15,0,13,113,98,0,13,5.7,5.1,0.1,0.5,11.7,5.8,0.6,1.1,0.4,0.6,0.0,1.5,4.5,3.8,0.0,1.5
56,Wyoming,WY,56001,Albany County,56001963101,Census Tract 9631.01; Albany County; Wyoming,1.953462219492,3695,453,1373,130,1309,130,251,150,26,22,187,124,47,48,90,76,533,108,981,223,222,89,0,18,33,58,454,668,0,18,64,88,0,18,56,68,8,17,6.8,4.0,1.2,1.0,14.3,9.4,2.1,2.0,2.4,2.1,14.4,3.0,26.5,4.1,6.0,2.6,0.0,1.4,1.0,1.7,12.3,18.0,0.0,1.3,4.7,6.4,0.0,1.4,4.3,5.1,0.2,0.5,0.0823,0.1772,0.2089,0.0823,0.0063,0.557,0.0063,0.3101,0.7722,0.0316,0.0,0.7975,1.9114,0.2848,0.3481,0.3481,0.3481,0.0,0.3671,0.0,0.6013,0.4114,1.3798,0.1392,4.1963,0.0253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,63,58,0,13,160,183,242,205,0,13,0,13,52,54,0,13,4.8,4.5,0.0,1.0,4.3,5.0,6.5,5.6,0.0,1.0,0.0,1.0,1.4,1.4,0.0,1.0
56,Wyoming,WY,56001,Albany County,56001963102,Census Tract 9631.02; Albany County; Wyoming,0.674707839572,4193,644,2089,315,1933,320,1744,488,194,126,822,296,46,40,456,211,671,305,511,133,472,163,63,39,1,50,721,889,354,131,12,22,22,32,97,62,37,5,42.7,9.9,7.4,4.8,42.5,13.6,2.3,2.1,11.0,4.8,16.0,6.4,12.2,3.1,11.4,4.0,3.2,1.9,0.0,1.2,17.2,21.0,16.9,5.7,0.6,1.1,1.1,1.6,5.0,3.4,0.9,0.2,0.981,0.8987,0.9747,0.1266,0.5316,3.5126,0.8354,0.4114,0.0633,0.3038,0.3671,0.0,1.1456,0.0506,0.5949,0.5949,0.5949,0.9304,0.1203,0.481,0.7089,0.557,2.7976,0.6835,8.0507,0.5443,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2200,222,105,144,149,268,155,220,136,7,15,0,13,82,65,0,13,11.5,5.4,3.4,3.4,6.4,3.6,5.2,3.5,0.2,0.4,0.0,0.9,2.0,1.5,0.0,0.9
56,Wyoming,WY,56001,Albany County,56001963400,Census Tract 9634; Albany County; Wyoming,0.51186507395,3324,470,2086,230,1818,268,1470,455,21,24,788,244,65,58,264,124,207,90,396,169,322,148,38,45,0,52,815,652,311,154,14,20,0,18,147,89,57,25,45.4,12.3,0.9,1.0,43.3,11.8,3.2,2.8,8.1,4.0,6.2,2.8,11.9,4.7,9.8,3.9,2.1,2.5,0.0,1.6,24.5,19.3,14.9,7.2,0.7,1.0,0.0,1.0,8.1,4.6,1.7,0.7,0.9873,0.1329,0.981,0.2278,0.3101,2.6391,0.557,0.0316,0.0506,0.1835,0.2405,0.0,0.5062,0.0,0.8038,0.8038,0.8038,0.9177,0.1456,0.0,0.8987,0.6772,2.6392,0.5696,6.5883,0.2911,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3113,210,84,31,48,222,94,380,155,89,54,39,64,54,59,0,13,11.6,4.4,0.9,1.4,6.7,2.9,11.4,4.8,2.7,1.7,1.2,1.9,1.6,1.8,0.0,1.1
56,Wyoming,WY,56001,Albany County,56001963500,Census Tract 9635; Albany County; Wyoming,0.844742527148,2408,120,310,75,259,72,314,102,150,54,166,75,0,13,142,72,15,4,31,27,135,71,0,18,39,60,506,171,13,12,18,6,0,18,33,26,1971,63,71.9,16.7,13.3,4.7,64.1,22.8,0.0,15.2,5.9,3.0,0.6,0.2,1.3,1.1,5.6,2.9,0.0,6.9,1.6,2.5,21.0,7.0,4.2,3.7,5.8,2.5,0.0,6.9,12.7,9.5,81.9,4.8,1.0,0.981,1.0,0.0,0.1329,3.1139,0.7278,0.0063,0.0,0.019,0.0,0.8861,0.9114,0.0127,0.7215,0.7215,0.7215,0.5949,0.4051,0.0,0.981,1.0,2.981,0.7658,7.7278,0.481,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,13533,154,74,58,55,239,91,101,76,2,9,0,13,106,54,0,13,59.5,14.9,2.4,2.3,9.9,3.7,4.2,3.1,0.1,0.4,0.0,1.5,4.4,2.3,0.0,1.5
56,Wyoming,WY,56001,Albany County,56001963600,Census Tract 9636; Albany County; Wyoming,0.774614820888,4353,525,2124,177,1988,239,1483,314,121,84,756,178,7,6,296,134,365,55,508,138,366,126,45,40,0,52,350,709,220,112,0,13,0,18,98,94,79,9,34.6,6.0,4.0,2.8,38.0,7.7,0.3,0.2,6.9,2.9,8.4,1.5,11.7,3.0,8.5,3.0,2.3,2.0,0.0,1.2,8.0,16.3,10.3,5.2,0.0,1.7,0.0,0.9,4.9,4.8,1.8,0.3,0.943,0.5443,0.9367,0.0127,0.1899,2.6266,0.5506,0.0823,0.0443,0.1139,0.2658,0.0,0.5063,0.0063,0.1329,0.1329,0.1329,0.8165,0.0,0.0,0.6899,0.6899,2.1963,0.3987,5.4621,0.1519,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3169,77,55,2,3,104,71,82,76,3,3,0,13,159,131,0,13,3.9,2.9,0.0,0.1,2.4,1.7,1.9,1.7,0.1,0.1,0.0,0.9,3.7,2.9,0.0,0.9
56,Wyoming,WY,56001,Albany County,56001963700,Census Tract 9637; Albany County; Wyoming,12.556033951184,6717,634,3411,317,3215,324,2797,796,202,119,1310,292,74,76,371,233,879,204,1179,301,589,189,214,119,0,72,1310,858,705,179,82,83,66,75,160,94,18,5,41.7,11.2,5.7,3.4,40.7,8.1,2.1,2.1,5.5,3.5,13.1,2.9,17.6,3.9,8.8,2.8,6.7,3.6,0.0,1.2,19.5,12.6,20.6,4.9,2.4,2.4,2.1,2.3,5.0,2.9,0.3,0.1,0.9747,0.7658,0.9557,0.0823,0.0949,2.8734,0.6392,0.2405,0.2215,0.1266,0.7722,0.0,1.3608,0.1013,0.6962,0.6962,0.6962,0.9557,0.2215,0.6582,0.7089,0.462,3.0063,0.7785,7.9367,0.5316,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,6072,467,169,74,98,664,195,229,170,0,18,0,18,343,241,0,18,14.5,5.1,1.1,1.5,9.9,2.9,3.4,2.5,0.0,0.6,0.0,0.6,5.1,3.4,0.0,0.6
56,Wyoming,WY,56001,Albany County,56001963900,Census Tract 9639; Albany County; Wyoming,4004.58162132059,2549,395,1959,201,1071,156,299,146,32,50,126,54,72,62,126,74,852,176,438,176,360,115,6,15,0,52,419,528,0,18,244,96,0,18,6,8,1,2,12.0,5.6,3.1,4.7,11.8,4.7,3.6,3.1,4.9,2.7,33.4,6.8,17.2,5.5,14.1,4.3,0.6,1.4,0.0,2.1,16.4,20.6,0.0,0.9,12.5,4.8,0.0,1.7,0.6,0.8,0.0,0.1,0.2405,0.462,0.1076,0.2658,0.0759,1.1518,0.0633,0.9747,0.2089,0.5063,0.0949,0.0,1.7848,0.2025,0.557,0.557,0.557,0.0,0.5823,0.0,0.1329,0.0,0.7152,0.0253,4.2088,0.0316,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,768,85,40,0,13,205,144,81,89,0,13,11,19,122,110,0,13,7.9,3.6,0.0,1.5,8.0,5.4,3.2,3.5,0.0,1.5,0.4,0.8,4.8,4.1,0.0,1.5
56,Wyoming,WY,56003,Big Horn County,56003962600,Census Tract 9626; Big Horn County; Wyoming,1521.60062088177,2547,284,1409,127,1092,134,542,172,15,17,152,61,267,125,402,144,692,122,313,120,483,120,9,19,40,65,199,402,15,27,240,84,6,15,33,30,184,40,22.9,6.8,1.2,1.3,13.9,5.3,12.9,5.7,17.1,5.8,27.2,4.4,12.3,3.9,20.6,4.7,0.8,1.7,1.6,2.6,7.8,15.8,1.1,1.9,17.0,5.9,0.5,1.4,3.0,2.7,7.2,1.3,0.7278,0.1772,0.1899,0.943,0.8418,2.8797,0.6456,0.8987,0.0759,0.9114,0.1203,0.8861,2.8924,0.7468,0.1203,0.1203,0.1203,0.3671,0.6519,0.3291,0.4937,0.9177,2.7595,0.6519,8.6519,0.6772,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,2015,232,109,0,13,109,74,7,9,24,26,21,26,38,22,0,13,21.2,8.5,0.0,1.5,4.3,3.0,0.3,0.4,0.9,1.0,0.8,1.0,1.5,0.8,0.0,1.5
56,Wyoming,WY,56003,Big Horn County,56003962700,Census Tract 9627; Big Horn County; Wyoming,894.362600582206,4073,347,1703,117,1444,124,854,215,212,81,246,67,293,121,619,170,807,118,1093,179,756,199,46,29,110,112,792,467,3,13,259,84,63,31,21,17,3,17,21.0,5.0,11.4,4.0,17.0,4.4,11.0,4.4,15.2,4.0,19.8,3.1,26.8,2.9,18.6,4.6,3.2,2.0,2.9,2.9,19.4,11.3,0.2,0.8,15.2,4.7,4.3,2.1,1.5,1.2,0.1,0.4,0.6646,0.9684,0.3038,0.8861,0.7468,3.5697,0.8671,0.6519,0.7848,0.8481,0.3671,0.9367,3.5886,0.9684,0.6772,0.6772,0.6772,0.2785,0.6266,0.8608,0.2468,0.2532,2.2659,0.443,10.1014,0.8797,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2952,131,46,0,13,614,122,24,28,8,16,0,13,140,70,6,10,9.1,3.2,0.0,0.9,15.1,3.0,0.6,0.7,0.2,0.4,0.0,0.9,3.4,1.6,0.1,0.2
56,Wyoming,WY,56003,Big Horn County,56003962800,Census Tract 9628; Big Horn County; Wyoming,720.992652346728,5070,366,2243,121,1726,156,907,258,91,50,290,85,384,113,589,155,1011,118,1502,184,675,127,73,36,14,72,634,493,26,34,368,118,25,26,75,52,71,6,18.2,5.0,4.2,2.2,16.8,4.7,11.9,3.3,11.8,2.8,19.9,2.2,29.6,2.4,13.5,2.3,4.2,2.1,0.3,1.5,12.5,9.7,1.2,1.5,16.4,5.2,1.4,1.5,4.3,2.9,1.4,0.1,0.5506,0.5759,0.2848,0.9177,0.6013,2.9303,0.6582,0.6709,0.9114,0.4557,0.5506,0.5696,3.1582,0.8481,0.3608,0.3608,0.3608,0.3734,0.6392,0.5443,0.6013,0.6392,2.7974,0.6772,9.2467,0.7975,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,6292,260,79,52,51,409,142,49,43,18,20,9,12,76,63,21,22,15.1,4.1,1.0,1.0,8.1,2.7,1.0,0.8,0.4,0.4,0.2,0.2,1.5,1.2,0.4,0.4
56,Wyoming,WY,56005,Campbell County,56005000101,Census Tract 1.01; Campbell County; Wyoming,1201.344227775488,1688,332,843,166,712,151,357,215,19,31,140,117,184,139,214,185,218,115,304,105,242,160,0,18,0,52,53,474,0,18,246,126,3,34,0,13,0,13,21.3,12.1,2.2,3.5,19.7,15.9,13.8,9.6,12.7,10.5,12.9,6.9,18.0,5.1,14.3,9.2,0.0,2.5,0.0,3.2,3.1,28.1,0.0,2.1,29.2,13.5,0.4,4.8,0.0,5.1,0.0,0.8,0.6709,0.3228,0.4873,0.962,0.6392,3.0822,0.7215,0.2278,0.2532,0.5253,0.0,0.0,1.0063,0.019,0.0127,0.0127,0.0127,0.0,0.8797,0.3101,0.0,0.0,1.1898,0.1013,5.291,0.1266,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3436,0,13,0,13,15,14,0,13,0,13,0,13,38,47,0,13,0.0,5.1,0.0,2.2,0.9,0.9,0.0,2.2,0.0,2.2,0.0,2.2,2.3,2.9,0.0,2.2
56,Wyoming,WY,56005,Campbell County,56005000102,Census Tract 1.02; Campbell County; Wyoming,380.412695137724,5230,744,2128,248,1999,276,212,215,37,43,148,92,94,84,393,290,308,154,1297,374,329,255,51,49,0,72,349,1059,542,207,92,55,41,71,20,33,0,18,4.1,4.1,1.2,1.3,7.4,4.5,2.6,2.4,7.5,5.4,5.9,3.1,24.8,5.4,6.3,4.9,2.6,2.4,0.0,1.5,6.7,20.2,25.4,9.3,4.3,2.5,2.1,3.5,1.0,1.7,0.0,0.3,0.0253,0.1772,0.0127,0.1519,0.2405,0.6076,0.0127,0.0253,0.6456,0.038,0.3228,0.0,1.0317,0.0316,0.0949,0.0949,0.0949,0.9684,0.3354,0.6582,0.1772,0.0,2.1392,0.3671,3.8734,0.0127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4308,16,27,99,101,126,106,0,18,0,18,0,18,124,91,0,18,0.8,1.3,1.9,2.0,2.4,2.0,0.0,0.7,0.0,0.7,0.0,0.7,2.4,1.8,0.0,0.7
56,Wyoming,WY,56005,Campbell County,56005000103,Census Tract 1.03; Campbell County; Wyoming,903.457721611236,1693,438,1085,191,711,151,495,321,16,26,142,81,171,227,508,337,121,97,425,198,135,96,20,34,0,52,452,542,45,50,351,120,17,29,0,13,3,6,29.2,17.4,1.7,2.8,20.0,10.6,14.3,16.5,30.0,15.8,7.1,5.8,25.1,8.6,8.0,5.5,2.8,4.7,0.0,3.4,26.7,31.3,4.1,4.6,32.4,10.2,2.4,4.0,0.0,5.1,0.2,0.4,0.8734,0.2405,0.519,0.9684,0.9747,3.576,0.8734,0.038,0.6582,0.0886,0.3418,0.0,1.1266,0.038,0.8418,0.8418,0.8418,0.5886,0.9241,0.7215,0.0,0.4114,2.6456,0.5759,8.19,0.5633,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2477,47,65,13,22,186,245,10,15,0,13,0,13,243,204,0,13,6.6,8.6,0.8,1.3,11.0,13.2,0.6,0.9,0.0,2.2,0.0,2.2,14.4,11.6,0.0,2.2
56,Wyoming,WY,56005,Campbell County,56005000200,Census Tract 2; Campbell County; Wyoming,34.548671825972,8019,991,2992,282,2777,295,1052,517,38,39,578,264,203,99,1049,705,630,165,2302,557,814,240,57,67,0,72,1636,1253,9,24,515,220,26,43,35,38,214,21,13.5,6.4,0.9,0.9,20.8,9.2,4.2,2.0,13.5,8.2,7.9,2.4,28.7,4.5,10.5,3.0,2.0,2.4,0.0,1.0,20.4,15.4,0.3,0.8,17.2,6.8,0.9,1.5,1.3,1.4,2.7,0.4,0.3101,0.1329,0.557,0.3101,0.6772,1.9873,0.3418,0.0633,0.8734,0.2089,0.2215,0.0,1.3671,0.1076,0.7152,0.7152,0.7152,0.2975,0.6646,0.4304,0.2278,0.7658,2.3861,0.4747,6.4557,0.2785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6186,293,219,29,30,968,393,0,18,4,13,0,18,635,371,0,18,10.6,7.5,0.4,0.4,12.1,4.2,0.0,0.5,0.0,0.2,0.0,0.5,7.9,4.5,0.0,0.5
56,Wyoming,WY,56005,Campbell County,56005000300,Census Tract 3; Campbell County; Wyoming,9.679838144952,4911,640,2243,259,1945,246,984,429,83,76,326,166,329,155,734,420,592,109,1338,367,557,261,402,243,54,72,770,924,201,186,423,170,0,18,41,52,0,13,20.0,8.3,3.4,3.1,16.8,8.3,10.6,4.9,14.9,8.4,12.1,2.8,27.2,5.6,11.3,5.3,20.7,12.2,1.2,1.5,15.7,18.7,9.0,8.2,18.9,7.8,0.0,0.9,2.1,2.7,0.0,0.3,0.6329,0.481,0.2848,0.8734,0.7405,3.0126,0.7089,0.1772,0.7975,0.2848,0.9937,0.8291,3.0823,0.8228,0.5316,0.5316,0.5316,0.7848,0.7025,0.0,0.3734,0.0,1.8607,0.2722,8.4872,0.6392,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5981,168,122,21,26,502,115,0,13,53,60,0,13,194,177,0,13,8.6,6.1,0.4,0.5,10.2,2.6,0.0,0.8,1.1,1.2,0.0,0.8,4.0,3.6,0.0,0.8
56,Wyoming,WY,56005,Campbell County,56005000400,Census Tract 4; Campbell County; Wyoming,1.423422552198,3572,558,1939,172,1483,204,634,262,90,98,233,104,138,81,444,215,529,193,773,162,512,169,84,51,36,58,318,777,217,98,132,79,0,18,58,50,4,9,17.8,6.8,4.5,4.9,15.7,6.7,5.6,3.3,12.4,5.9,14.8,5.2,21.6,4.1,14.3,4.6,5.6,3.4,1.0,1.7,8.9,21.7,11.2,5.0,6.8,4.1,0.0,1.2,3.9,3.4,0.1,0.3,0.5127,0.6013,0.2342,0.5253,0.6203,2.4938,0.5253,0.3354,0.4114,0.5253,0.6899,0.7975,2.7595,0.6709,0.1962,0.1962,0.1962,0.8418,0.4241,0.0,0.5759,0.2532,2.095,0.3608,7.5445,0.4367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8216,133,60,4,7,177,114,0,13,37,42,0,13,100,84,0,13,9.0,4.3,0.1,0.2,5.0,3.1,0.0,1.0,1.0,1.2,0.0,1.0,2.8,2.3,0.0,1.0
56,Wyoming,WY,56005,Campbell County,56005000500,Census Tract 5; Campbell County; Wyoming,13.594724007176,7367,979,2582,251,2349,243,461,292,112,102,310,157,402,166,642,293,687,124,2428,550,405,176,113,99,0,72,1017,1330,34,42,74,67,37,53,46,47,135,19,6.5,4.0,2.8,2.4,13.2,6.5,9.3,3.7,8.9,4.1,9.3,1.7,33.0,3.9,5.6,2.4,4.8,4.2,0.0,1.1,13.8,18.0,1.3,1.6,2.9,2.6,1.6,2.3,2.0,2.0,1.8,0.1,0.0759,0.4177,0.1456,0.8228,0.3544,1.8164,0.2658,0.0949,0.9873,0.019,0.5823,0.0,1.6835,0.1456,0.462,0.462,0.462,0.3861,0.2532,0.5949,0.3544,0.6899,2.2785,0.4494,6.2404,0.2532,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4852,77,67,3,7,641,277,0,18,197,175,0,18,167,113,9,15,3.3,2.8,0.0,0.1,8.7,3.4,0.0,0.5,2.7,2.4,0.0,0.5,2.3,1.5,0.1,0.2
56,Wyoming,WY,56005,Campbell County,56005000600,Census Tract 6; Campbell County; Wyoming,7.903998675642,5645,652,2875,309,2505,332,1433,475,93,83,802,279,191,138,342,252,1318,302,1288,268,835,290,146,142,47,87,767,930,552,248,595,214,11,22,244,139,180,16,26.2,8.1,3.4,3.0,32.0,10.3,4.7,3.4,6.3,4.7,23.3,4.3,22.8,4.3,15.4,5.0,5.9,5.6,0.9,1.6,13.6,16.4,19.2,8.4,20.7,7.1,0.4,0.9,9.7,5.5,3.2,0.5,0.8101,0.481,0.8797,0.3861,0.1519,2.7088,0.5823,0.7848,0.5063,0.6646,0.7089,0.7595,3.4241,0.9367,0.4367,0.4367,0.4367,0.943,0.7785,0.3101,0.943,0.8038,3.7784,0.962,10.348,0.9114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,7352,430,172,0,18,507,181,24,41,109,110,15,24,100,83,12,24,17.2,6.6,0.0,0.7,9.0,3.3,0.4,0.7,1.9,1.9,0.3,0.4,1.8,1.5,0.2,0.4
56,Wyoming,WY,56005,Campbell County,56005000701,Census Tract 7.01; Campbell County; Wyoming,1245.44003024189,1737,445,726,189,726,189,36,35,0,13,27,38,0,13,111,85,392,228,267,77,234,201,0,18,0,52,92,639,0,18,180,112,29,41,43,45,0,13,2.1,1.9,0.0,3.1,3.7,5.1,0.0,2.7,6.4,5.2,22.6,13.6,15.4,5.7,13.5,11.9,0.0,2.5,0.0,3.1,5.3,36.8,0.0,2.5,24.8,14.7,4.0,5.6,5.9,6.6,0.0,0.7,0.0,0.0,0.0,0.0,0.1646,0.1646,0.0,0.7532,0.1076,0.4557,0.0,0.0,1.3165,0.0886,0.0443,0.0443,0.0443,0.0,0.8354,0.8481,0.7975,0.0,2.481,0.5253,4.0064,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,31,30,0,13,0,13,0,13,27,37,0,13,65,94,0,13,4.3,4.4,0.0,2.1,0.0,2.1,0.0,2.1,1.6,2.2,0.0,2.1,3.7,5.8,0.0,2.1
56,Wyoming,WY,56005,Campbell County,56005000702,Census Tract 7.02; Campbell County; Wyoming,1004.257941796094,6995,835,2487,281,2302,293,975,326,273,168,616,241,701,217,1957,877,582,207,2169,479,766,247,207,166,193,95,1064,1158,0,25,1017,225,0,25,38,41,10,24,13.9,4.4,7.8,4.7,26.8,9.9,17.6,5.7,28.0,10.5,8.3,3.0,31.0,4.7,11.0,3.6,9.0,7.1,3.0,1.4,15.2,16.5,0.0,1.0,40.9,8.3,0.0,1.1,1.7,1.8,0.1,0.3,0.3228,0.9051,0.7658,0.981,0.9557,3.9304,0.9241,0.0696,0.962,0.2532,0.8671,0.943,3.0949,0.8354,0.5063,0.5063,0.5063,0.0,0.9557,0.0,0.2911,0.2532,1.5,0.1582,9.0316,0.7658,0,1,0,1,1,3,0,1,0,0,1,2,0,0,0,1,0,0,0,1,6,4178,142,114,9,18,1025,201,0,18,30,44,0,18,0,18,0,18,6.2,5.0,0.1,0.3,14.7,2.9,0.0,0.5,0.4,0.6,0.0,0.5,0.0,0.5,0.0,0.5
